ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目668.7474095781644 分、2回目971.0430014014244 分、3回目1012.7737502455711 分

二回目の時のうまくいったときのやつ↓
1 回目
Step 0, Loss 5.8716
Step 100, Loss 0.1205
Step 200, Loss 0.0683
Step 300, Loss 0.0638
Step 400, Loss 0.0618
Step 500, Loss 0.0604
Step 600, Loss 0.0595
Step 700, Loss 0.0588
Step 800, Loss 0.0601
Step 900, Loss 0.0578
Step 999, Loss 0.0573
2 回目
Step 0, Loss 7.4912
Step 100, Loss 0.2997
Step 200, Loss 0.0772
Step 300, Loss 0.0652
Step 400, Loss 0.0625
Step 500, Loss 0.0607
Step 600, Loss 0.0614
Step 700, Loss 0.0593
Step 800, Loss 0.0589
Step 900, Loss 0.0586
Step 999, Loss 0.0582
3 回目
Step 0, Loss 8.0428
Step 100, Loss 0.1942
Step 200, Loss 0.0873
Step 300, Loss 0.0703
Step 400, Loss 0.0644
Step 500, Loss 0.0626
Step 600, Loss 0.0624
Step 700, Loss 0.0612
Step 800, Loss 0.0597
Step 900, Loss 0.0589
Step 999, Loss 0.0583
4 回目
Step 0, Loss 6.6972
Step 100, Loss 0.1436
Step 200, Loss 0.0684
Step 300, Loss 0.0616
Step 400, Loss 0.0595
Step 500, Loss 0.0586
Step 600, Loss 0.0576
Step 700, Loss 0.0572
Step 800, Loss 0.0567
Step 900, Loss 0.0566
Step 999, Loss 0.0560
5 回目
Step 0, Loss 7.6325
Step 100, Loss 0.3370
Step 200, Loss 0.1068
Step 300, Loss 0.0703
Step 400, Loss 0.0637
Step 500, Loss 0.0606
Step 600, Loss 0.0598
Step 700, Loss 0.0589
Step 800, Loss 0.0580
Step 900, Loss 0.0576
Step 999, Loss 0.0571
6 回目
Step 0, Loss 6.0297
Step 100, Loss 0.1062
Step 200, Loss 0.0678
Step 300, Loss 0.0640
Step 400, Loss 0.0624
Step 500, Loss 0.0611
Step 600, Loss 0.0603
Step 700, Loss 0.0596
Step 800, Loss 0.0591
Step 900, Loss 0.0584
Step 999, Loss 0.0584
7 回目
Step 0, Loss 5.0861
Step 100, Loss 0.0892
Step 200, Loss 0.0664
Step 300, Loss 0.0626
Step 400, Loss 0.0608
Step 500, Loss 0.0598
Step 600, Loss 0.0590
Step 700, Loss 0.0584
Step 800, Loss 0.0579
Step 900, Loss 0.0575
Step 999, Loss 0.0570
8 回目
Step 0, Loss 5.6724
Step 100, Loss 0.0958
Step 200, Loss 0.0665
Step 300, Loss 0.0631
Step 400, Loss 0.0602
Step 500, Loss 0.0584
Step 600, Loss 0.0572
Step 700, Loss 0.0604
Step 800, Loss 0.0558
Step 900, Loss 0.0555
Step 999, Loss 0.0576
9 回目
Step 0, Loss 5.5630
Step 100, Loss 0.1846
Step 200, Loss 0.0692
Step 300, Loss 0.0645
Step 400, Loss 0.0626
Step 500, Loss 0.0618
Step 600, Loss 0.0610
Step 700, Loss 0.0605
Step 800, Loss 0.0604
Step 900, Loss 0.0627
Step 999, Loss 0.0620
10 回目
Step 0, Loss 6.4809
Step 100, Loss 0.1057
Step 200, Loss 0.0662
Step 300, Loss 0.0620
Step 400, Loss 0.0614
Step 500, Loss 0.0582
Step 600, Loss 0.0572
Step 700, Loss 0.0564
Step 800, Loss 0.0558
Step 900, Loss 0.0554
Step 999, Loss 0.0550
11 回目
Step 0, Loss 9.0298
Step 100, Loss 0.2091
Step 200, Loss 0.0752
Step 300, Loss 0.0671
Step 400, Loss 0.0633
Step 500, Loss 0.0615
Step 600, Loss 0.0602
Step 700, Loss 0.0593
Step 800, Loss 0.0584
Step 900, Loss 0.0576
Step 999, Loss 0.0604
12 回目
Step 0, Loss 7.1059
Step 100, Loss 0.2876
Step 200, Loss 0.0984
Step 300, Loss 0.0729
Step 400, Loss 0.0680
Step 500, Loss 0.0631
Step 600, Loss 0.0611
Step 700, Loss 0.0598
Step 800, Loss 0.0598
Step 900, Loss 0.0582
Step 999, Loss 0.0599
13 回目
Step 0, Loss 4.9111
Step 100, Loss 0.1377
Step 200, Loss 0.0774
Step 300, Loss 0.0641
Step 400, Loss 0.0610
Step 500, Loss 0.0597
Step 600, Loss 0.0593
Step 700, Loss 0.0584
Step 800, Loss 0.0580
Step 900, Loss 0.0575
Step 999, Loss 0.0578
14 回目
Step 0, Loss 6.3811
Step 100, Loss 0.1212
Step 200, Loss 0.0733
Step 300, Loss 0.0654
Step 400, Loss 0.0621
Step 500, Loss 0.0604
Step 600, Loss 0.0594
Step 700, Loss 0.0588
Step 800, Loss 0.0595
Step 900, Loss 0.0612
Step 999, Loss 0.0573
15 回目
Step 0, Loss 6.2094
Step 100, Loss 0.1094
Step 200, Loss 0.0682
Step 300, Loss 0.0626
Step 400, Loss 0.0612
Step 500, Loss 0.0592
Step 600, Loss 0.0591
Step 700, Loss 0.0576
Step 800, Loss 0.0564
Step 900, Loss 0.0558
Step 999, Loss 0.0550
16 回目
Step 0, Loss 6.6688
Step 100, Loss 0.1898
Step 200, Loss 0.0709
Step 300, Loss 0.0635
Step 400, Loss 0.0634
Step 500, Loss 0.0621
Step 600, Loss 0.0592
Step 700, Loss 0.0586
Step 800, Loss 0.0598
Step 900, Loss 0.0687
Step 999, Loss 0.0571
17 回目
Step 0, Loss 5.7220
Step 100, Loss 0.1653
Step 200, Loss 0.0776
Step 300, Loss 0.0676
Step 400, Loss 0.0672
Step 500, Loss 0.0612
Step 600, Loss 0.0623
Step 700, Loss 0.0595
Step 800, Loss 0.0589
Step 900, Loss 0.0587
Step 999, Loss 0.0694
18 回目
Step 0, Loss 6.3784
Step 100, Loss 0.1091
Step 200, Loss 0.0672
Step 300, Loss 0.0653
Step 400, Loss 0.0597
Step 500, Loss 0.0586
Step 600, Loss 0.0592
Step 700, Loss 0.0573
Step 800, Loss 0.0568
Step 900, Loss 0.0567
Step 999, Loss 0.0655
19 回目
Step 0, Loss 5.7486
Step 100, Loss 0.1010
Step 200, Loss 0.0631
Step 300, Loss 0.0599
Step 400, Loss 0.0585
Step 500, Loss 0.0581
Step 600, Loss 0.0568
Step 700, Loss 0.0563
Step 800, Loss 0.0559
Step 900, Loss 0.0571
Step 999, Loss 0.0551
20 回目
Step 0, Loss 6.2821
Step 100, Loss 0.2127
Step 200, Loss 0.1165
Step 300, Loss 0.0790
Step 400, Loss 0.0656
Step 500, Loss 0.0622
Step 600, Loss 0.0607
Step 700, Loss 0.0600
Step 800, Loss 0.0595
Step 900, Loss 0.0601
Step 999, Loss 0.0585
21 回目
Step 0, Loss 6.6192
Step 100, Loss 0.1625
Step 200, Loss 0.0673
Step 300, Loss 0.0625
Step 400, Loss 0.0609
Step 500, Loss 0.0594
Step 600, Loss 0.0592
Step 700, Loss 0.0582
Step 800, Loss 0.0590
Step 900, Loss 0.0573
Step 999, Loss 0.0569
22 回目
Step 0, Loss 6.8900
Step 100, Loss 0.2059
Step 200, Loss 0.0806
Step 300, Loss 0.0682
Step 400, Loss 0.0704
Step 500, Loss 0.0618
Step 600, Loss 0.0631
Step 700, Loss 0.0638
Step 800, Loss 0.0585
Step 900, Loss 0.0580
Step 999, Loss 0.0583
23 回目
Step 0, Loss 5.9084
Step 100, Loss 0.1285
Step 200, Loss 0.0691
Step 300, Loss 0.0648
Step 400, Loss 0.0639
Step 500, Loss 0.0629
Step 600, Loss 0.0607
Step 700, Loss 0.0598
Step 800, Loss 0.0593
Step 900, Loss 0.0589
Step 999, Loss 0.0589
24 回目
Step 0, Loss 7.0782
Step 100, Loss 0.1393
Step 200, Loss 0.0757
Step 300, Loss 0.0684
Step 400, Loss 0.0651
Step 500, Loss 0.0624
Step 600, Loss 0.0609
Step 700, Loss 0.0597
Step 800, Loss 0.0588
Step 900, Loss 0.0581
Step 999, Loss 0.0575
25 回目
Step 0, Loss 3.7509
Step 100, Loss 0.1552
Step 200, Loss 0.0675
Step 300, Loss 0.0620
Step 400, Loss 0.0601
Step 500, Loss 0.0592
Step 600, Loss 0.0583
Step 700, Loss 0.0582
Step 800, Loss 0.0571
Step 900, Loss 0.0564
Step 999, Loss 0.0558
26 回目
Step 0, Loss 8.8024
Step 100, Loss 0.2143
Step 200, Loss 0.1054
Step 300, Loss 0.0765
Step 400, Loss 0.0678
Step 500, Loss 0.0635
Step 600, Loss 0.0613
Step 700, Loss 0.0600
Step 800, Loss 0.0592
Step 900, Loss 0.0586
Step 999, Loss 0.0582
27 回目
Step 0, Loss 5.7444
Step 100, Loss 0.2136
Step 200, Loss 0.0803
Step 300, Loss 0.0638
Step 400, Loss 0.0603
Step 500, Loss 0.0588
Step 600, Loss 0.0578
Step 700, Loss 0.0568
Step 800, Loss 0.0562
Step 900, Loss 0.0556
Step 999, Loss 0.0553
28 回目
Step 0, Loss 5.5220
Step 100, Loss 0.0768
Step 200, Loss 0.0637
Step 300, Loss 0.0606
Step 400, Loss 0.0592
Step 500, Loss 0.0592
Step 600, Loss 0.0574
Step 700, Loss 0.0582
Step 800, Loss 0.0574
Step 900, Loss 0.0554
Step 999, Loss 0.0554
29 回目
Step 0, Loss 11.9259
Step 100, Loss 0.5216
Step 200, Loss 0.1696
Step 300, Loss 0.1054
Step 400, Loss 0.0886
Step 500, Loss 0.0810
Step 600, Loss 0.0753
Step 700, Loss 0.0709
Step 800, Loss 0.0676
Step 900, Loss 0.0653
Step 999, Loss 0.0636
30 回目
Step 0, Loss 7.2014
Step 100, Loss 0.2220
Step 200, Loss 0.0877
Step 300, Loss 0.0691
Step 400, Loss 0.0636
Step 500, Loss 0.0618
Step 600, Loss 0.0610
Step 700, Loss 0.0604
Step 800, Loss 0.0599
Step 900, Loss 0.0594
Step 999, Loss 0.0588
31 回目
Step 0, Loss 7.5568
Step 100, Loss 0.1376
Step 200, Loss 0.0824
Step 300, Loss 0.0722
Step 400, Loss 0.0672
Step 500, Loss 0.0641
Step 600, Loss 0.0620
Step 700, Loss 0.0604
Step 800, Loss 0.0592
Step 900, Loss 0.0603
Step 999, Loss 0.0627
32 回目
Step 0, Loss 5.2305
Step 100, Loss 0.0902
Step 200, Loss 0.0628
Step 300, Loss 0.0604
Step 400, Loss 0.0609
Step 500, Loss 0.0588
Step 600, Loss 0.0585
Step 700, Loss 0.0599
Step 800, Loss 0.0607
Step 900, Loss 0.0581
Step 999, Loss 0.0581
33 回目
Step 0, Loss 6.1516
Step 100, Loss 0.1252
Step 200, Loss 0.0685
Step 300, Loss 0.0628
Step 400, Loss 0.0606
Step 500, Loss 0.0605
Step 600, Loss 0.0579
Step 700, Loss 0.0579
Step 800, Loss 0.0563
Step 900, Loss 0.0619
Step 999, Loss 0.0552
34 回目
Step 0, Loss 7.7635
Step 100, Loss 0.1887
Step 200, Loss 0.0738
Step 300, Loss 0.0662
Step 400, Loss 0.0635
Step 500, Loss 0.0619
Step 600, Loss 0.0609
Step 700, Loss 0.0637
Step 800, Loss 0.0594
Step 900, Loss 0.0589
Step 999, Loss 0.0585
35 回目
Step 0, Loss 4.9638
Step 100, Loss 0.1134
Step 200, Loss 0.0686
Step 300, Loss 0.0636
Step 400, Loss 0.0617
Step 500, Loss 0.0607
Step 600, Loss 0.0602
Step 700, Loss 0.0596
Step 800, Loss 0.0590
Step 900, Loss 0.0586
Step 999, Loss 0.0583
36 回目
Step 0, Loss 4.4825
Step 100, Loss 0.0966
Step 200, Loss 0.0628
Step 300, Loss 0.0599
Step 400, Loss 0.0585
Step 500, Loss 0.0577
