Leaky ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目980.9021223187447 分、2回目887.146327996254 分、3回目974.852148671945分

1 回目
Step 0, Loss 6.6351
Step 100, Loss 0.2345
Step 200, Loss 0.0695
Step 300, Loss 0.0633
Step 400, Loss 0.0616
Step 500, Loss 0.0602
Step 600, Loss 0.0593
Step 700, Loss 0.0586
Step 800, Loss 0.0581
Step 900, Loss 0.0577
Step 999, Loss 0.0574
2 回目
Step 0, Loss 7.9036
Step 100, Loss 0.3262
Step 200, Loss 0.1092
Step 300, Loss 0.0729
Step 400, Loss 0.0652
Step 500, Loss 0.0620
Step 600, Loss 0.0603
Step 700, Loss 0.0595
Step 800, Loss 0.0590
Step 900, Loss 0.0585
Step 999, Loss 0.0598
3 回目
Step 0, Loss 8.0410
Step 100, Loss 0.4106
Step 200, Loss 0.1435
Step 300, Loss 0.0892
Step 400, Loss 0.0718
Step 500, Loss 0.0669
Step 600, Loss 0.0644
Step 700, Loss 0.0628
Step 800, Loss 0.0616
Step 900, Loss 0.0607
Step 999, Loss 0.0600
4 回目
Step 0, Loss 7.6156
Step 100, Loss 0.2958
Step 200, Loss 0.0798
Step 300, Loss 0.0680
Step 400, Loss 0.0634
Step 500, Loss 0.0611
Step 600, Loss 0.0598
Step 700, Loss 0.0591
Step 800, Loss 0.0586
Step 900, Loss 0.0582
Step 999, Loss 0.0578
5 回目
Step 0, Loss 5.5147
Step 100, Loss 0.0949
Step 200, Loss 0.0637
Step 300, Loss 0.0617
Step 400, Loss 0.0603
Step 500, Loss 0.0591
Step 600, Loss 0.0586
Step 700, Loss 0.0583
Step 800, Loss 0.0591
Step 900, Loss 0.0577
Step 999, Loss 0.0581
6 回目
Step 0, Loss 5.0424
Step 100, Loss 0.0973
Step 200, Loss 0.0668
Step 300, Loss 0.0632
Step 400, Loss 0.0613
Step 500, Loss 0.0602
Step 600, Loss 0.0595
Step 700, Loss 0.0591
Step 800, Loss 0.0582
Step 900, Loss 0.0578
Step 999, Loss 0.0589
7 回目
Step 0, Loss 4.0703
Step 100, Loss 0.0715
Step 200, Loss 0.0613
Step 300, Loss 0.0597
Step 400, Loss 0.0589
Step 500, Loss 0.0584
Step 600, Loss 0.0579
Step 700, Loss 0.0575
Step 800, Loss 0.0571
Step 900, Loss 0.0568
Step 999, Loss 0.0563
8 回目
Step 0, Loss 11.0757
Step 100, Loss 0.2813
Step 200, Loss 0.1144
Step 300, Loss 0.1051
Step 400, Loss 0.0847
Step 500, Loss 0.0801
Step 600, Loss 0.0797
Step 700, Loss 0.0712
Step 800, Loss 0.0684
Step 900, Loss 0.0663
Step 999, Loss 0.0647
9 回目
Step 0, Loss 7.0989
Step 100, Loss 0.1932
Step 200, Loss 0.0925
Step 300, Loss 0.0702
Step 400, Loss 0.0636
Step 500, Loss 0.0622
Step 600, Loss 0.0596
Step 700, Loss 0.0592
Step 800, Loss 0.0571
Step 900, Loss 0.0567
Step 999, Loss 0.0559
10 回目
Step 0, Loss 8.2173
Step 100, Loss 0.2685
Step 200, Loss 0.0771
Step 300, Loss 0.0660
Step 400, Loss 0.0629
Step 500, Loss 0.0610
Step 600, Loss 0.0618
Step 700, Loss 0.0640
Step 800, Loss 0.0597
Step 900, Loss 0.0583
Step 999, Loss 0.0579
